"session_id","run_date","language","mode","notes"
"session_20260413_125644_19c5e4ac","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125644_b2129651","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125644_ea6a9fe3","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125645_061a812b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125645_351e1404","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125645_4dc68398","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125646_256afefc","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125646_d6358d6c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125646_e99e0832","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125647_281a5102","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125647_6b42cb24","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125647_ae7a28d4","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125648_09cc6f9d","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125648_66a7a03a","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125649_03bf21fd","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125649_6cc0af94","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125649_90109094","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125650_3353cd9a","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125650_b22c3e91","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125650_c9369cdb","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125651_33fe01b8","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125651_6a77291d","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125651_c1a81498","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125652_4e7936dc","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125652_5bcb5286","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125652_7d2eff0e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125653_76e27163","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125653_88e6d6d2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125653_9cfdef82","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125654_3384607e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125654_402ad234","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125654_6f1b8191","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125655_4e9690c3","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125655_60f2e4f2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125655_e1a84fe2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125656_651da4b2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125446_2407622e","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125446_6988e919","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125446_9e6574f7","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125446_b68f9c79","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125447_03eb7dbb","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125447_151f2438","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125447_1ed9d152","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125447_6939cb91","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125447_8fae1728","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125447_b55c83e5","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125447_bb08d2ea","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
"session_20260413_125447_bd7521ef","2026-04-13","java","dynamic","bulk ingestion from Graphene-HA logs"
